num;repet;Climat;Rotation;Date_semis;Densite_semis;cov.nb;niv_RQ;pertes_rdt_3seeds
367;2;2;20;1;55;1.5;1.4;7.887767368
368;2;2;20;1;25;1.5;1.4;8.072236051
369;2;2;20;0;55;2.5;1.4;5.02802816
370;2;2;20;0;25;2.5;1.4;5.121997605
371;2;2;20;1;55;2.5;1.4;6.879945044
372;2;2;20;1;25;2.5;1.4;7.100460928
373;2;2;20;0;55;2;1.6;4.692921576
374;2;2;20;0;25;2;1.6;4.817998082
375;2;2;20;1;55;2;1.6;6.211215128
376;2;2;20;1;25;2;1.6;6.375381988
377;2;2;20;0;55;1.5;1.6;5.512088069
378;2;2;20;0;25;1.5;1.6;5.550255193
379;2;2;20;1;55;1.5;1.6;6.727739962
380;2;2;20;1;25;1.5;1.6;6.864968802
381;2;2;20;0;55;2.5;1.6;4.094983262
382;2;2;20;0;25;2.5;1.6;4.225899905
383;2;2;20;1;55;2.5;1.6;5.829773538
384;2;2;20;1;25;2.5;1.6;5.977080785
385;2;2;10;0;55;2;1.85;2.744643887
386;2;2;10;0;25;2;1.85;2.808901136
387;2;2;10;1;55;2;1.85;3.078084458
388;2;2;10;1;25;2;1.85;3.208690091
389;2;2;10;0;55;1.5;1.85;3.330319824
390;2;2;10;0;25;1.5;1.85;3.364732314
391;2;2;10;1;55;1.5;1.85;3.588466784
392;2;2;10;1;25;1.5;1.85;3.683270773
393;2;2;10;0;55;2.5;1.85;2.517537296
394;2;2;10;0;25;2.5;1.85;2.620565589
395;2;2;10;1;55;2.5;1.85;2.816745175
396;2;2;10;1;25;2.5;1.85;2.947278697
397;2;2;10;0;55;2;1;6.527596745
398;2;2;10;0;25;2;1;6.760596228
399;2;2;10;1;55;2;1;7.088597633
400;2;2;10;1;25;2;1;7.404002775
401;2;2;10;0;55;1.5;1;7.972768362
402;2;2;10;0;25;1.5;1;8.080492003
403;2;2;10;1;55;1.5;1;9.067734924
404;2;2;10;1;25;1.5;1;9.440622444
405;2;2;10;0;55;2.5;1;5.755784712
406;2;2;10;0;25;2.5;1;6.074223645
407;2;2;10;1;55;2.5;1;6.327727114
408;2;2;10;1;25;2.5;1;6.689789261
409;2;2;10;0;55;2;1.4;3.911450645
410;2;2;10;0;25;2;1.4;3.927897004
411;2;2;10;1;55;2;1.4;4.693731642
412;2;2;10;1;25;2;1.4;4.964079038
413;2;2;10;0;55;1.5;1.4;5.198980987
414;2;2;10;0;25;1.5;1.4;5.457257547
415;2;2;10;1;55;1.5;1.4;5.971571656
416;2;2;10;1;25;1.5;1.4;6.0208717
417;2;2;10;0;55;2.5;1.4;3.385058751
418;2;2;10;0;25;2.5;1.4;3.585846759
419;2;2;10;1;55;2.5;1.4;3.936362643
420;2;2;10;1;25;2.5;1.4;4.324239203
421;2;2;10;0;55;2;1.6;2.890372495
422;2;2;10;0;25;2;1.6;2.983293633
423;2;2;10;1;55;2;1.6;3.452398599
424;2;2;10;1;25;2;1.6;3.511142754
425;2;2;10;0;55;1.5;1.6;3.83385388
426;2;2;10;0;25;1.5;1.6;3.74539445
427;2;2;10;1;55;1.5;1.6;4.233547883
428;2;2;10;1;25;1.5;1.6;4.370171884
429;2;2;10;0;55;2.5;1.6;2.649890241
430;2;2;10;0;25;2.5;1.6;2.692219222
431;2;2;10;1;55;2.5;1.6;2.999207315
432;2;2;10;1;25;2.5;1.6;2.932752377
481;3;1;20;0;55;2;1.85;9.80249839
482;3;1;20;0;25;2;1.85;9.814030732
483;3;1;20;1;55;2;1.85;8.910903869
484;3;1;20;1;25;2;1.85;8.958150134
485;3;1;20;0;55;1.5;1.85;10.15959407
486;3;1;20;0;25;1.5;1.85;10.17902108
487;3;1;20;1;55;1.5;1.85;9.206419949
488;3;1;20;1;25;1.5;1.85;9.27442584
489;3;1;20;0;55;2.5;1.85;9.249455162
490;3;1;20;0;25;2.5;1.85;9.261030357
491;3;1;20;1;55;2.5;1.85;8.517172267
492;3;1;20;1;25;2.5;1.85;8.553133756
493;3;1;20;0;55;2;1;19.59165266
494;3;1;20;0;25;2;1;19.67720104
495;3;1;20;1;55;2;1;17.57584609
496;3;1;20;1;25;2;1;17.68956532
497;3;1;20;0;55;1.5;1;20.13227069
498;3;1;20;0;25;1.5;1;20.22139284
499;3;1;20;1;55;1.5;1;18.08057192
500;3;1;20;1;25;1.5;1;18.20820839
501;3;1;20;0;55;2.5;1;18.45254395
502;3;1;20;0;25;2.5;1;18.55731278
503;3;1;20;1;55;2.5;1;16.77116658
504;3;1;20;1;25;2.5;1;16.86908238
505;3;1;20;0;55;2;1.4;15.18905903
506;3;1;20;0;25;2;1.4;15.24559578
507;3;1;20;1;55;2;1.4;13.56953264
508;3;1;20;1;25;2;1.4;13.66507863
509;3;1;20;0;55;1.5;1.4;15.66659867
510;3;1;20;0;25;1.5;1.4;15.72977419
511;3;1;20;1;55;1.5;1.4;13.96661985
512;3;1;20;1;25;1.5;1.4;14.06907732
513;3;1;20;0;55;2.5;1.4;14.21913084
514;3;1;20;0;25;2.5;1.4;14.23348033
515;3;1;20;1;55;2.5;1.4;12.91046741
516;3;1;20;1;25;2.5;1.4;12.9865933
517;3;1;20;0;55;2;1.6;12.98881797
518;3;1;20;0;25;2;1.6;13.02323316
519;3;1;20;1;55;2;1.6;11.65177023
520;3;1;20;1;25;2;1.6;11.72922016
521;3;1;20;0;55;1.5;1.6;13.38281701
522;3;1;20;0;25;1.5;1.6;13.42026104
523;3;1;20;1;55;1.5;1.6;11.99192609
524;3;1;20;1;25;1.5;1.6;12.07071923
525;3;1;20;0;55;2.5;1.6;12.22423108
526;3;1;20;0;25;2.5;1.6;12.22647881
527;3;1;20;1;55;2.5;1.6;11.14911887
528;3;1;20;1;25;2.5;1.6;11.20836653
529;3;1;10;0;55;2;1.85;8.263155048
530;3;1;10;0;25;2;1.85;8.148259818
531;3;1;10;1;55;2;1.85;8.620296886
532;3;1;10;1;25;2;1.85;8.646088834
533;3;1;10;0;55;1.5;1.85;8.717286892
534;3;1;10;0;25;1.5;1.85;8.644985993
535;3;1;10;1;55;1.5;1.85;9.240519987
536;3;1;10;1;25;1.5;1.85;9.250080164
537;3;1;10;0;55;2.5;1.85;7.834959999
538;3;1;10;0;25;2.5;1.85;7.663164012
539;3;1;10;1;55;2.5;1.85;8.188182627
540;3;1;10;1;25;2.5;1.85;8.086397594
541;3;1;10;0;55;2;1;16.634903
542;3;1;10;0;25;2;1;16.34741532
543;3;1;10;1;55;2;1;17.19671133
544;3;1;10;1;25;2;1;17.26317396
545;3;1;10;0;55;1.5;1;17.63378738
546;3;1;10;0;25;1.5;1;17.62051716
547;3;1;10;1;55;1.5;1;18.46797429
548;3;1;10;1;25;1.5;1;18.58692776
549;3;1;10;0;55;2.5;1;15.39190622
550;3;1;10;0;25;2.5;1;15.16698452
551;3;1;10;1;55;2.5;1;16.0804202
552;3;1;10;1;25;2.5;1;16.07826145
553;3;1;10;0;55;2;1.4;12.98543122
554;3;1;10;0;25;2;1.4;12.88388881
555;3;1;10;1;55;2;1.4;13.43267651
556;3;1;10;1;25;2;1.4;13.49497623
557;3;1;10;0;55;1.5;1.4;13.78977488
558;3;1;10;0;25;1.5;1.4;13.76502151
559;3;1;10;1;55;1.5;1.4;14.6046679
560;3;1;10;1;25;1.5;1.4;14.68315162
561;3;1;10;0;55;2.5;1.4;12.09249542
562;3;1;10;0;25;2.5;1.4;11.89443451
563;3;1;10;1;55;2.5;1.4;12.55771153
564;3;1;10;1;25;2.5;1.4;12.50167305
565;3;1;10;0;55;2;1.6;10.46314033
566;3;1;10;0;25;2;1.6;10.33364855
567;3;1;10;1;55;2;1.6;10.79419052
568;3;1;10;1;25;2;1.6;10.78366742
569;3;1;10;0;55;1.5;1.6;11.02467294
570;3;1;10;0;25;1.5;1.6;10.9541313
571;3;1;10;1;55;1.5;1.6;11.62307487
572;3;1;10;1;25;1.5;1.6;11.55365695
573;3;1;10;0;55;2.5;1.6;9.851480763
574;3;1;10;0;25;2.5;1.6;9.705069421
575;3;1;10;1;55;2.5;1.6;10.22692889
